City,County,State,Date,Indoors ,People Counting ,People Counting Sources,Covid Spread After Rally,,
Tulsa,Tulsa,Oklahoma,6/20/20,yes,6200.00,https://en.wikipedia.org/wiki/2020_Trump_Tulsa_rally,Speed up,,
Phoenix ,Maricopa,Arizona,6/23/20,yes,3000.00,https://www.politico.com/news/2020/06/23/trump-rally-arizona-336565,Speed up,,
Mankato,Blue Earth,Minnesota,8/17/20,no,500.00,https://heavy.com/news/2020/08/trump-yuma-arizona-rally-crowd-photos/,No effect,,
Oshkosh,Winnebago,Wisconsin,8/17/20,no,1000.00,https://www.jsonline.com/story/news/politics/elections/2020/08/17/2020-dnc-trump-counter-bidens-nomination-oshkosh-rally/3382004001/,Slow down,,
Yuma,Yuma,Arizona,8/18/20,no,,,Speed up,,
Old Forge,Lackawanna,Pennsylvania,8/20/20,no,,,Speed up,,
Londonberry,Rockingham,New Hampshire,8/28/20,no,1000.00,https://www.unionleader.com/news/politics/voters/trump-draws-large-crowd-at-airport-nine-days-before-election/article_63d5355a-b7a0-5c13-b75c-f5fa9cd37afb.html,No effect,,
Latrobe,Westmoreland,Pennsylvania,9/3/20,no,7000.00,https://www.wccsradio.com/2020/09/05/president-trumps-campaign-did-not-seek-permission-to-break-250-person-outdoor-event-limit-for-latrobe-rally/,No effect,,
Winston-Salem ,Forsyth,North Carolina,9/8/20,no,15000.00,https://www.chathamstartribune.com/news/article_9c082774-f371-11ea-9108-efc2a2cfe47d.html,Slow down,,
Freeland ,Saginaw,Michigan,9/10/20,no,10000.00,,Slow down,,
Minden,Douglas,Nevada,9/12/20,no,5000.00,https://heavy.com/news/2020/09/trump-nevada-rally-crowd-photos-minden/,Speed up,,
Henderson ,Clark,Nevada,9/13/20,yes,,,Speed up,,
Mosinee,Marathon,Wisconsin,9/17/20,no,,,Speed up,,
Bemidji,Beltrami,Minnesota ,9/18/20,no,,,Speed up,,
Fayetteville ,Cumberland,North Carolina,9/19/20,no,5600.00,https://www.fayobserver.com/story/news/2020/09/21/trump-rally-draws-5-600-people-and-most-not-wearing-masks/5852576002/,No effect,,
Swanton ,Lucas,Ohio,9/21/20,no,,,No effect,,
Vandalia ,Vandalia ,Ohio,9/21/20,no,10000.00,https://ysnews.com/news/2016/03/at-the-trump-rally-in-vandalia,No effect,,
Pittsburgh ,Allegheny,Pennsylvania,9/22/20,no,,,Slow down,,
Jacksonville ,Duval,Florida ,9/24/20,no,15000.00,https://www.jacksonville.com/story/news/politics/elections/presidential/2020/09/24/supporters-already-lining-up-president-donald-trumps-rally-tonight-jacksonville/3514969001/,No effect,,
Newport News,Newport News,Virginia,9/25/20,no,700.00,https://www.dailypress.com/government/elections/vp-nw-trump-rally-preview-newport-news-20200925-xnm6mkdu6fffpgdulwt32rqqly-story.html,No effect,,
Middletown,Dauphin,Pennsylvania,9/26/20,no,,,No effect,,
